OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,lat,lon
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.439,41.915336,-83.513566
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.349,41.915336,-83.513566
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.559,41.915336,-83.513566
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,38.962212,-87.402871
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,39.295884,-85.950826
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,38.971914,-95.23594
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,37.270344,-95.552479
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,38.159184,-96.560566
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599,42.101876,-72.588673
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199,39.113456,-94.626497
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,41.124833,-101.718958
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749,41.40855,-112.03819
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469,29.903228,-81.414547
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,41.575871,-87.176146
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769,42.098698,-75.912519
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.689,42.098698,-75.912519
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.699,42.098698,-75.912519
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.739,42.098698,-75.912519
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,30.326225,-81.657918
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,43.196205,-73.651397
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799,43.196205,-73.651397
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,41.617396,-87.522011
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,31.963778,-95.270504
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,32.725422,-114.619809
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,40.242562,-82.859067
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,41.010077,-81.862222
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,39.961731,-82.491268
407,FUEL MART #641,"I-80 & I-280, EXIT 71",Perrysburg                              ,OH,550,3.499,41.557118,-83.627932
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,35.472989,-97.517054
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899,34.024623,-95.52055
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299,32.540445,-82.903754
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,42.09719,-102.870715
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666,37.940875,-77.461865
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,41.125327,-84.853296
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399,40.411112,-95.516929
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079,33.924312,-81.393713
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,33.49182,-80.855648
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,37.5781,-105.789045
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,32.418474,-88.506982
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299,48.753079,-97.553283
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,36.681413,-101.481424
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo                                  ,TX,693,3.299,27.507921,-99.506983
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,46.975523,-109.696854
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999,36.081816,-84.053982
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,35.960395,-83.921026
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.042972,-104.831628
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.042972,-104.831628
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City                               ,OH,430,3.179,39.984794,-81.458452
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,34.297879,-83.824066
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,33.607619,-88.650325
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,41.430596,-86.898358
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,41.327292,-89.128764
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589,41.327292,-89.128764
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449,41.327292,-89.128764
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289,41.327292,-89.128764
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,34.856613,-92.405686
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,41.602096,-87.337065
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459,32.75517,-111.553493
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899,41.07999,-85.138601
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879,41.07999,-85.138601
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,30.236871,-92.505969
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,45.539286,-122.387313
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,41.586056,-109.219454
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,46.206758,-119.76916
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559,46.206758,-119.76916
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,33.199804,-87.453015
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,38.982454,-93.568501
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,41.144868,-102.976738
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599,43.643032,-72.251587
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,42.894127,-74.409975
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,41.805254,-80.947621
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39948962,36.980056,-85.612191
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39625375,36.980056,-85.612191
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40695023,36.980056,-85.612191
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.40630048,36.980056,-85.612191
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.39722401,36.980056,-85.612191
629,FLYING J #850,TCH-16,Edmonton,AB,80,4.3981947,36.980056,-85.612191
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,44.636507,-123.105932
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,35.870619,-88.145872
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,35.960395,-83.921026
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.39948962,40.091467,-74.968867
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59317483,40.091467,-74.968867
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59114784,40.091467,-74.968867
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60163996,40.091467,-74.968867
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.59216111,40.091467,-74.968867
659,FLYING J #869,HWY 2 SOUTH,Nanton,AB,50,4.60231851,40.091467,-74.968867
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499,31.912468,-106.598098
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,39.853927,-75.198218
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,45.304406,-97.036466
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,42.162005,-78.975317
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,37.692236,-97.337545
692,BP,US-63,Ottumwa,IA,489,3.399,41.019566,-92.411689
739,Arco #364420,US-23,Greenup,KY,255,3.649,38.510811,-82.918019
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,40.377217,-104.697763
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,40.359489,-91.455432
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489,43.015338,-89.895879
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,42.327724,-87.839419
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499,42.327724,-87.839419
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289,42.327724,-87.839419
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499,32.750444,-81.636776
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499,35.14648,-90.184539
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291,35.14648,-90.184539
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,33.285669,-86.809988
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,615,3.12566666,40.833358,-80.545532
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.03233333,35.089193,-92.43984
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,930,3.39233333,33.448437,-112.074141
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.66699,-114.21681
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.66699,-114.21681
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.53233333,43.190039,-112.348357
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.56566666,32.725422,-114.619809
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.449,39.615985,-75.662956
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.399,39.615985,-75.662956
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.56233333,30.189425,-82.63948
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.259,30.189425,-82.63948
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.244,30.189425,-82.63948
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,20,3.60733333,30.77436,-85.226873
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.43233333,32.540445,-82.903754
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.399,32.540445,-82.903754
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.399,33.466325,-82.502609
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,527,3.399,42.017772,-95.355329
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,565,3.58233333,42.575559,-92.78704
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,787,3.799,42.6059,-114.209645
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.819,42.428679,-87.906725
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.879,42.428679,-87.906725
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.779,42.428679,-87.906725
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.769,42.428679,-87.906725
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,293,3.249,38.151161,-88.903955
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.399,40.116147,-87.778359
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.499,40.116147,-87.778359
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.599,40.116147,-87.778359
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,280,3.499,39.565608,-89.657319
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,39.78551,-85.768198
1149,PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,39.78551,-85.768198
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,375,3.759,39.795601,-85.526363
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,595,3.199,32.739928,-96.816074
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,375,3.599,39.521437,-85.776924
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute                             ,IN,510,3.43566666,39.466702,-87.413912
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.869,41.467255,-87.060449
1158,PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,365,3.859,41.467255,-87.060449
1163,SHORT STOP #13,US-54,Emporia,KS,553,2.839,38.404005,-96.181623
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.20566666,38.209984,-84.559713
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.609,37.834509,-85.731904
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.384,30.780724,-91.376335
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,178,3.68233333,42.526744,-71.761489
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,22,3.599,39.559419,-76.073225
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.549,39.05209,-88.602901
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.349,39.05209,-88.602901
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.439,39.05209,-88.602901
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.399,39.05209,-88.602901
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.499,42.291707,-85.587229
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.099,42.291707,-85.587229
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.599,42.217817,-85.891125
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.559,42.217817,-85.891125
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.374,43.667999,-92.97465
1218,CASEYS #3658,SR-210,Pillager,MN,522,3.299,46.326382,-94.474923
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.01566666,39.341989,-91.195144
1234,Lamar Travel Plaza,US-71 & US-160,Lamar,MO,416,3.199,37.495053,-94.276874
1236,AYERCO #44,US-36 & US-24,Palmyra,MO,494,3.01566666,39.794221,-91.523256
1240,TEMP STOP #103,US-65,Sedalia,MO,400,3.199,38.709831,-93.229551
1247,SNAPPY MART #11,US-63 & SR-14,West Plains,MO,535,3.299,36.728165,-91.852576
1251,MAPCO #3009,US-72,Corinth,MS,435,3.154,34.93436,-88.522335
1256,DOUBLE QUICK #89,US-82/US-278,Greenville,MS,655,3.25566666,33.411105,-91.063586
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,435,2.97233333,34.828152,-89.564525
1304,LOVES TRAVEL STOP #667,"I-85, EXIT 152",Mebane,NC,65,3.94733333,36.095971,-79.266962
1315,CIRCLE K #2720218,US-421 BUS & US-15/US-501/US-1,Sanford,NC,177,3.08233333,35.479876,-79.180299
1325,SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,245,3.629,34.235285,-77.948728
1326,SPEEDWAY #7949,US-301/US-264 ALT & CR-1674,Wilson,NC,205,3.199,35.705911,-77.917571
1333,PUMP & PANTRY #15,US-30,Grand Island,NE,330,3.30733333,40.924271,-98.338685
1340,BORDENTOWN VALERO,"NJ TNPK, EXIT 7 & US-206",Bordentown,NJ,230,3.499,40.146268,-74.711451
1342,Delta,"I-80, EXIT 47B",Fairfield,NJ,115,3.20233333,40.883724,-74.306872
1344,BOLLA TRUCK STOP #193,US-202 & SR-17,Mahwah,NJ,115,3.53233333,41.088707,-74.143755
1348,GLOBAL,SR-73,Palmyra,NJ,150,3.359,40.007056,-75.028227
1356,LOVES TRAVEL STOP #257,"I-40 & HORIZON, EXIT 79",Milan,NM,580,3.59066666,35.169717,-107.890892
